Achievement	AchievementID	Category	Rarity	Priority	Hidden	Icon	Description	CriteriaType	CriteriaValue	EngineType	SecondaryCriteria	SecondaryValue	TrackingScope
💡 Genius	GENIUS	Hidden	Epic	60	TRUE	💡	Win 3 times as underdog (lower points)	UPSET_WIN	3	MATCH_EVENT			
🪖 Survivor Elite	SURVIVOR_ELITE	Career	Legendary	80	FALSE	🪖	Survive 5+ seasons (never eliminated)	MULTI_SEASON_SURVIVOR	5	SEASON_EVENT			
📈 Momentum	MOMENTUM	Seasonal	Common	20	FALSE	📈	Win streaks in 3 consecutive weeks	WEEKLY_WINS	3	SEASON_EVENT			
🧿 Untouchable Plus	UNTOUCHABLE_PLUS	Career	Mythic	90	FALSE	🧿	Maintain 85% win rate with 50+ games	WIN_RATE	85	STAT_BASED	CAREER_GAMES	50	
🥊 Fighter	FIGHTER	Career	Common	20	FALSE	🥊	Play 5 matches	CAREER_GAMES	5	STAT_BASED			
🔥 Red Hot	RED_HOT	Career	Rare	40	FALSE	🔥	Win 7 in a row	WIN_STREAK	7	MATCH_EVENT	CAREER_GAMES	20	
❄ Cold Snap	COLD_SNAP	Hidden	Rare	40	TRUE	❄	Lose 7 in a row	LOSS_STREAK	7	MATCH_EVENT	CAREER_GAMES	20	
💥 Breakthrough	BREAKTHROUGH	Career	Rare	40	FALSE	💥	Reach 50 career wins	CAREER_WINS	50	STAT_BASED	CAREER_GAMES	10	
🌟 Superstar	SUPERSTAR	Career	Legendary	80	FALSE	🌟	Reach 100 career wins	CAREER_WINS	100	STAT_BASED	CAREER_GAMES	30	
🔷 Elite Threshold	ELO_1050	Career	Rare	40	FALSE	🔷	Reach 1050 ELO rating	PEAK_ELO	1050	STAT_BASED			
🔶 Master Level	ELO_1200	Career	Epic	60	FALSE	🔶	Reach 1200 ELO rating	PEAK_ELO	1200	STAT_BASED	CAREER_GAMES	30	
🔸 Legendary Rank	ELO_1300	Career	Legendary	80	FALSE	🔸	Reach 1300 ELO rating	PEAK_ELO	1300	STAT_BASED	CAREER_GAMES	50	
🪬 Mystic	MYSTIC	Hidden	Mythic	90	TRUE	🪬	Unlock every hidden achievement	ALL_HIDDEN_UNLOCKED	1	STAT_BASED			
